ID,Ngày,Giờ BĐ,Giờ KT,Loại,Tên hoạt động,Địa điểm,Vĩ độ,Kinh độ,Di chuyển TT
d1-1,1,13:00,15:30,Di chuyển,Khởi hành từ Hà Nội,Xe 16 chỗ,,,Xe 16 chỗ
d1-2,1,15:30,17:00,Lưu trú,Nhận phòng homestay,Tam Coc Lion Kings Hotel & Resort Ninh Binh,,,Đi bộ / Xe máy
d1-3,1,18:00,19:30,Ăn uống,Ăn tối — Dê núi Tràng An,Đặc sản Ninh Bình · Phố cổ Hoa Lư,20.25,105.974,Xe máy / Grab
d1-4,1,20:00,21:30,Tham quan,Phố Cổ Hoa Lư,Cố đô nghìn năm · buổi tối,20.2798,105.9494,
d2-1,2,06:30,07:30,Ăn uống,Ăn sáng — bún chả quạt ngõ 5,Có bữa sáng tại hotel,20.251,105.9748,Xe máy
d2-2,2,08:00,12:00,Tham quan,Tràng An,Di sản Thế giới UNESCO · Thuyền hang động,20.259,105.9097,Xe máy
d2-3,2,12:00,13:30,Ăn uống,Ăn trưa — Chuồn Chuồn xưa,Di chuyển vào thành phố ăn trưa,20.257,105.915,Xe máy
d2-4,2,15:30,17:30,Tham quan,Hang Múa,Nam thiên đệ nhị động · Tam Cốc,20.228,105.922,Xe máy
d2-6,2,19:00,20:30,Ăn uống,Ăn tối — Nhà Hàng Madam thư,Đặc sản dê núi · gần trung tâm,20.249,105.971,
d3-1,3,07:00,07:45,Ăn uống,Bánh cuốn mẹt hương hương,,20.2508,105.9742,Xe máy / Grab
d3-2,3,08:00,10:00,Tham quan,Thung Nham,Vườn chim thiên nhiên · hang động,20.1889,105.9264,Xe máy
d3-3,3,10:00,11:45,Tham quan,Chùa Bích Động,,,, Xe máy
d3-4,3,11:45,13:30,Ăn uống,Ăn trưa · Cơm cháy · Về Hà Nội,Bữa kết hành trình,20.2506,105.9745,Xe khách / Tàu
d3-5,3,13:30,16:00,Di chuyển,Khởi hành về Hà Nội,Xe 16 chỗ,,,
